event_id,fault_type,device,severity,start_time,end_time,recovery_time,affected_services,affected_links,expected_impact
1028897975a64c87,congestion,branch-1,0.5095,1970-01-01T08:54:00+00:00,1970-01-01T09:17:00+00:00,1970-01-01T09:17:00+00:00,"erp,web_traffic,video_conferencing","mpls-hub-1_to_branch-1,branch-1_to_branch-2",Increased latency and packet loss on affected links
b8984348d2334a05,bgp_flap,branch-4,0.3992,1970-01-01T09:19:00+00:00,1970-01-01T09:27:00+00:00,1970-01-01T09:27:00+00:00,"erp,database,web_traffic","mpls-hub-1_to_branch-2,mpls-hub-1_to_branch-4,branch-1_to_branch-2,branch-3_to_branch-4",Routing instability causing intermittent connectivity
5a2c5ae60d38408f,packet_loss_escalation,branch-4,0.6714,1970-01-01T10:10:00+00:00,1970-01-01T10:22:00+00:00,1970-01-01T10:22:00+00:00,"video_conferencing,web_traffic","mpls-hub-1_to_branch-1,mpls-hub-1_to_branch-2,mpls-hub-1_to_branch-4,branch-1_to_branch-2,branch-3_to_branch-4",Escalating packet loss degrading application QoE
871bd792b4154499,tunnel_failure,branch-4,0.3352,1970-01-01T10:28:00+00:00,1970-01-01T12:27:00+00:00,1970-01-01T12:27:00+00:00,"video_conferencing,erp","mpls-hub-1_to_branch-2,mpls-hub-1_to_branch-3,mpls-hub-1_to_branch-4,branch-1_to_branch-2,branch-3_to_branch-4",Tunnel degradation impacting encrypted traffic
7f6a332d30474105,cpu_overload,mpls-hub-1,0.4071,1970-01-01T12:05:00+00:00,1970-01-01T12:27:00+00:00,1970-01-01T12:27:00+00:00,"erp,database,video_conferencing","datacenter-1_to_mpls-hub-1,mpls-hub-1_to_branch-1,mpls-hub-1_to_branch-2,mpls-hub-1_to_branch-3,mpls-hub-1_to_branch-4,branch-1_to_branch-2,branch-3_to_branch-4",Device CPU saturation causing control plane issues
3dc934aa41a44820,controller_error,branch-1,0.558,1970-01-01T12:32:00+00:00,1970-01-01T12:57:00+00:00,1970-01-01T12:57:00+00:00,"erp,database","mpls-hub-1_to_branch-1,branch-1_to_branch-2",Policy violations causing incorrect traffic engineering
20b9988337a5425f,bgp_flap,branch-4,0.3658,1970-01-01T13:37:00+00:00,1970-01-01T15:00:00+00:00,1970-01-01T15:00:00+00:00,"erp,database,web_traffic","mpls-hub-1_to_branch-4,branch-3_to_branch-4",Routing instability causing intermittent connectivity
3116f362e4d34f78,bgp_flap,branch-2,0.5394,1970-01-01T15:54:00+00:00,1970-01-01T15:58:00+00:00,1970-01-01T15:58:00+00:00,"erp,database,web_traffic","datacenter-1_to_mpls-hub-1,mpls-hub-1_to_branch-1,mpls-hub-1_to_branch-2,mpls-hub-1_to_branch-3,mpls-hub-1_to_branch-4,branch-1_to_branch-2",Routing instability causing intermittent connectivity
169780426b1d4ee9,tunnel_failure,datacenter-1,0.3193,1970-01-01T16:05:00+00:00,1970-01-01T18:04:00+00:00,1970-01-01T18:04:00+00:00,"video_conferencing,erp",datacenter-1_to_mpls-hub-1,Tunnel degradation impacting encrypted traffic
e0129ca3e562447a,controller_error,branch-2,0.5166,1970-01-01T18:00:00+00:00,1970-01-01T18:04:00+00:00,1970-01-01T18:04:00+00:00,"erp,database","mpls-hub-1_to_branch-2,branch-1_to_branch-2",Policy violations causing incorrect traffic engineering
037765e975a9424f,packet_loss_escalation,mpls-hub-1,0.3424,1970-01-01T17:44:00+00:00,1970-01-01T18:32:00+00:00,1970-01-01T18:32:00+00:00,"video_conferencing,web_traffic","datacenter-1_to_mpls-hub-1,mpls-hub-1_to_branch-1,mpls-hub-1_to_branch-2,mpls-hub-1_to_branch-3,mpls-hub-1_to_branch-4",Escalating packet loss degrading application QoE
a60f435700dd42ba,tunnel_failure,datacenter-1,0.3294,1970-01-01T22:08:00+00:00,1970-01-01T22:16:00+00:00,1970-01-01T22:16:00+00:00,"video_conferencing,erp",datacenter-1_to_mpls-hub-1,Tunnel degradation impacting encrypted traffic
4e286104b6cc4d6e,mpls_failure,branch-1,0.3403,1970-01-01T22:35:00+00:00,1970-01-01T22:58:00+00:00,1970-01-01T22:58:00+00:00,"erp,database,web_traffic","datacenter-1_to_mpls-hub-1,mpls-hub-1_to_branch-1,mpls-hub-1_to_branch-2,mpls-hub-1_to_branch-3,mpls-hub-1_to_branch-4,branch-1_to_branch-2",MPLS LSP degradation impacting label-switched traffic
475e8295feef4b50,memory_exhaustion,mpls-hub-1,0.6963,1970-01-01T22:47:00+00:00,1970-01-01T22:59:00+00:00,1970-01-01T22:59:00+00:00,"erp,database","datacenter-1_to_mpls-hub-1,mpls-hub-1_to_branch-1,mpls-hub-1_to_branch-2,mpls-hub-1_to_branch-3,mpls-hub-1_to_branch-4,branch-3_to_branch-4",Memory pressure causing process restarts
